author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,location,url,description
199792190,2021-04-21T04:09:20.000Z,. @vladomirosevic con @fernandopaulsen en @CNNChile ahora,1384720882980069378,es,0,0,1,0,FALSE,Jorge Babul,JorgeBabul,2010-10-07T18:54:24.000Z,"Santiago, Chile","","Bioquímica-Estructura de proteínas, Profesor Facultad de Ciencias y Director Programa Académico de Bachillerato U. de Chile."
207741909,2021-04-19T21:29:20.000Z,"Fernando Paulsen. Siempre gigante @fernandopaulsen

 https://t.co/lczSodHKL7",1384257834078982144,es,66,2,141,3,FALSE,Gabriel Alemparte,jgalemparte,2010-10-25T23:22:35.000Z,Santiago Chile,https://t.co/RX6b2rclkY,"Abogado, Derecho Público y regulatorio, Master Ciencia Política. 100% ejercicio profesional. Escribo @entrepiso_cl ejerzo en https://t.co/RX6b2rclkY"
223634333,2021-04-19T23:43:26.000Z,"@Fidelsaavedrab @Dpm_Chile2020 @pautalibrelared @LaRedTV @24HorasTVN @CNNChile @CHVNoticias @tv_monica @DMatamala @rodrigosepu @fernandopaulsen Gracias.
Aprovecho de decir que el https://t.co/yaWy4fdToJ Chile es una mierda!",1384291581226741773,es,0,1,1,0,FALSE,Maria Ines Ramirez,InesdeChile,2010-12-06T22:48:14.000Z,RM. Ñuñoa,"","Artista, interesada en actualidad, política, literatura, cine, ciencia, ecología y todo lo demás. Soy RD y A/C"
223634333,2021-04-19T23:21:47.000Z,@rafa_cavada @MaiValenzuela @fernandopaulsen Paulsen es el equivalente a Monica Gonzalez! ambos dicen la verdad!,1384286133643726849,es,0,1,2,0,FALSE,Maria Ines Ramirez,InesdeChile,2010-12-06T22:48:14.000Z,RM. Ñuñoa,"","Artista, interesada en actualidad, política, literatura, cine, ciencia, ecología y todo lo demás. Soy RD y A/C"
223634333,2021-04-19T23:39:59.000Z,@Dpm_Chile2020 @pautalibrelared @LaRedTV @24HorasTVN @CNNChile @CHVNoticias @tv_monica @DMatamala @rodrigosepu @fernandopaulsen ¿es Luksic el dueño principal del Banco de Chile? RSVP,1384290714058510337,ca,0,1,0,0,FALSE,Maria Ines Ramirez,InesdeChile,2010-12-06T22:48:14.000Z,RM. Ñuñoa,"","Artista, interesada en actualidad, política, literatura, cine, ciencia, ecología y todo lo demás. Soy RD y A/C"
2291224772,2021-04-20T14:00:31.000Z,"@albertolarrains @Ultima_Mirada @fernandopaulsen Muy bien Alberto, hay días, que ni yo me aguanto en este traje de humana, hay días que se ponen muy oscuros y no se ve horizontes ....",1384507274396409862,es,0,0,0,0,FALSE,ELIZA NECULHUEQUE,ELIZABETHNECULH,2014-01-14T14:27:04.000Z,Chile,"","Desértica, mapuche, pero de raíces de tamarugal... búho + que alondra..."
234775812,2021-04-20T15:09:49.000Z,@riosvivos @FlaviaLiberona @manuelbaquedano @Sara_Larrain @amigosdelosparq @AlertaIslaRiesc @fernandopaulsen @mauriciomnoz @ddivisadero @eldesconcierto @matbarr1 @patricioaylwin @GreenpeaceCL @matiasasun https://t.co/hVaZkegUW8,1384524713641365505,und,1,0,2,0,FALSE,Andrés Gillmore Evers,veranadas,2011-01-06T14:56:05.000Z,"","","Poblador. Empresario turístico-Aventurero, ganadero de Aysén; Sociologo,Consultor proyectos de inversión. Fundador Corporación Costa Carrera. Mentalidad rural."
243301124,2021-04-19T23:51:49.000Z,Grande @fernandopaulsen https://t.co/Z8niILab4a,1384293691230093312,en,0,0,0,0,FALSE,FCZa_Es #Apruebo+CC,FCZa_Es,2011-01-26T19:08:18.000Z,"","",""
2482949222,2021-04-20T14:03:16.000Z,"🔴🎙️Al AIRE | Ahora comienza #CombinaciónClave  junto a @FernandoPaulsen

Comenta con👉🏼#CombinaciónClave

Únete en
📻92.9 FM
💻https://t.co/tFvQHyMsXe https://t.co/QuRFpTEDPk",1384507966741745665,es,1,0,1,0,FALSE,La Clave,radiolaclave,2014-05-08T00:28:59.000Z,"Santiago, Chile",https://t.co/FpASx8MzV0,"Cuenta oficial de Radio La Clave 92.9 FM en Santiago
La Clave, Me Escucha🎙"
2482949222,2021-04-20T17:25:31.000Z,"🗣️| ""Esto que está pasando genera un estructura de campeonato y una competencia distinta a lo que hemos visto. Esta propuesta inevitablemente destruye la forma en la que se estaba viendo el mérito para clasificar"".
@FernandoPaulsen

#METROPOLISSUPERLIGA https://t.co/hmR8ZAddc4",1384558861399601152,es,0,0,0,0,FALSE,La Clave,radiolaclave,2014-05-08T00:28:59.000Z,"Santiago, Chile",https://t.co/FpASx8MzV0,"Cuenta oficial de Radio La Clave 92.9 FM en Santiago
La Clave, Me Escucha🎙"
2482949222,2021-04-20T17:00:51.000Z,"🎙️Al AIRE | Ya comienza una nueva emisión de #Metrópolis junto a @RodrigoGomez68, @ChicoPenailillo y @FernandoPaulsen

Comenta con 👉🏼#METROPOLISSUPERLIGA

Únete en
📻92.9 FM
💻https://t.co/tFvQHyMsXe https://t.co/3kxgZAT04k",1384552653997367296,es,0,1,2,0,FALSE,La Clave,radiolaclave,2014-05-08T00:28:59.000Z,"Santiago, Chile",https://t.co/FpASx8MzV0,"Cuenta oficial de Radio La Clave 92.9 FM en Santiago
La Clave, Me Escucha🎙"
